Team Name, GitHub ID of mambers 
KevinTonRafael, rasanchez180, nova14753692, kevinhdo92
TeamOne, aberinnj, chimenjoku, ADMoreau
Team Name, GitHub ID of members
DDMT, bongohead101 Tylerremmie dsmartinez dariamartin
CTC, OPzCatchMee, tmle95, Chance77295
xXBlackhatBadBois, vapor47 PhillipNguyen1 MissingDriver
CSG, caparoonie505, Rutschige, nanaz-f
JCK, JeffSandov6 cvu0014 kaydabs
TeamHAL, rambleRamblePie lrflores AlexMilligan AMItchell11
PHP, PayneWheat, pasieng, haoxian0114
MeowCat, vivian-v, changjin86, VincentChungHeiPoon, DuongNguyen7691
TeamB, MikeZBi, bryan-acuna, BdonLe
DeluxeCode, Chaseman246, Nivetha1410, Phae-ton
NoName, victorflorintsev, galvane, joshchan17, navinghimire
ARG, k4g4, Ryan10101996, ZgonzRawr
mojo, mikePanagos, oatovar, JarredMcMahan
Fruitcakes, alvinck55, cmohr368, Ethaninabox
Risk Takers, jdhonea, DerrickEllis, Ian-voorhies
DWC, De, William, Carlos 
